169,2
687,19
848,48
991,14
1001,52
1213,48
1285,89
1333,25
1351,59
1712,96
2534,93
2844,76
2889,45
3134,70
3267,52
3976,17
4093,42
4100,80
4555,7
4656,30
5193,82
5209,32
5454,38
5483,21
5611,40
5753,15
6103,5
6673,42
6685,21
7029,15
7148,5
7635,44
7732,19
7826,18
7907,51
8401,85
9128,62
9238,1
9281,32
9410,34
10136,68
10234,31
10870,31
10937,98
10998,51
11389,61
11602,69
11943,1
12571,100
12606,15
12632,48
12650,23
12715,28
12818,78
12950,27
12974,5
13188,37
13425,31
13484,69
13510,86
13735,48
13836,69
13857,79
14186,6
14388,5
14635,65
14882,67
14980,24
15664,89
15677,79
15688,18
15690,66
16103,70
16380,12
16610,50
16698,94
17367,48
17692,29
17889,68
18195,12
18842,3
19000,39
19238,68
19642,69
20023,14
20065,39
20242,76
20557,91
21039,18
21217,59
21233,11
21275,69
21278,48
21313,60
21520,67
21965,16
22295,76
22543,40
22656,39
22842,2
