69,20
529,19
556,1
589,23
773,1
1103,9
1175,54
1222,94
1264,34
1377,83
1385,20
1434,18
1462,38
1577,8
1691,2
1732,13
1858,37
1937,53
2301,70
2493,41
2735,29
2956,54
3133,92
3184,49
3228,18
3268,65
3291,68
3377,68
3669,69
3842,66
4029,42
4204,50
4207,49
4333,25
4416,10
4438,6
4618,40
4774,27
4813,29
4901,31
4910,55
4967,52
5029,43
5047,51
5217,53
5260,8
5571,10
5586,45
5724,50
5822,67
5863,57
5866,85
6100,18
6336,45
6505,48
6714,69
6759,66
6878,89
7007,8
7239,4
7307,82
7685,31
7686,7
7691,4
7906,39
8051,52
8103,15
8369,32
8422,38
8427,55
8551,92
8610,59
8633,19
8760,22
8769,78
8796,34
8857,66
8866,38
8878,65
8891,40
9109,46
9182,63
9342,6
9423,54
9925,91
10035,41
10039,53
10051,23
10103,33
10191,66
10223,25
10255,34
10398,21
10478,23
10481,65
10497,16
10546,98
10767,28
10880,24
10926,26
10999,80
11013,62
11076,92
11359,38
11364,68
11470,48
11680,7
11695,26
11711,21
11784,48
12033,38
12194,5
12321,32
12903,12
13006,61
13017,29
13080,28
13386,53
13475,35
13614,71
13631,61
13646,94
13734,8
13864,17
13896,70
13980,16
14432,8
14981,64
15455,47
15527,53
15656,24
15745,35
15798,6
15909,63
15955,32
16069,13
16148,96
16237,43
16323,71
16760,7
16803,48
16953,32
17110,76
17189,94
17276,53
17360,54
17397,38
17404,8
17690,32
17704,40
17756,53
17775,56
17921,34
18237,57
18279,18
18515,46
18757,29
19179,58
19367,87
19412,54
19420,12
19508,75
19588,49
19632,60
19789,17
19836,42
19903,51
20214,30
20239,9
20272,40
20471,59
20859,93
20999,84
21046,57
21047,45
21605,36
21615,38
21955,13
22015,79
22089,61
22135,29
22160,84
22274,71
22390,73
22595,16
22722,57
22848,25
23003,34
23073,71
23239,7
23868,52
23891,68
24090,64
24134,11
24208,21
24224,7
24485,43
24701,63
24732,54
24848,29
