315,36
939,33
979,53
1202,63
1239,72
1252,8
1284,43
1339,18
1596,64
1723,13
1964,50
2173,42
2753,2
2891,15
3206,9
3302,49
3969,16
4015,7
4097,39
4597,15
4979,15
5213,54
5398,38
5444,33
5825,18
5941,15
5989,5
6110,11
6289,10
6302,74
7207,75
7315,50
7383,21
7601,54
7636,41
7830,65
8854,96
9313,8
9604,50
9747,4
10758,33
10779,93
10981,79
11335,28
11582,61
12190,46
12235,2
12266,20
12379,29
12446,36
12537,45
13099,67
13360,66
13363,4
13388,25
13464,54
13591,56
13872,21
14304,18
14330,14
14578,46
14677,25
14789,83
14857,100
14879,10
15920,53
16658,61
16743,93
16796,98
17165,45
17468,2
17519,29
18242,35
18277,56
18903,62
19033,17
19077,7
19292,37
20672,84
22120,81
22135,35
22211,69
22301,50
22377,62
22788,29
22895,41
22899,51
23014,16
23224,93
23425,62
23448,43
23875,34
24106,60
24167,59
24211,22
24547,57
24582,62
24802,61
18997,20
19278,38
